,index,LoadHourlyAvg,Percentile
566,566,3404.9454545454546,0.991
567,567,3401.550000000001,0.991
568,568,3401.280000000001,0.991
569,569,3400.74,0.991
570,570,3397.7880000000005,0.991
571,571,3397.4999999999995,0.991
572,572,3396.5018181818177,0.991
573,573,3396.403636363636,0.991
574,574,3395.970000000001,0.991
575,575,3395.61,0.991
576,576,3393.99,0.991
577,577,3393.0654545454545,0.991
578,578,3392.280000000001,0.991
579,579,3392.1900000000005,0.991
580,580,3392.19,0.991
581,581,3392.19,0.991
582,582,3392.010000000001,0.991
583,583,3391.956000000001,0.991
584,584,3391.524000000001,0.991
585,585,3391.38,0.991
586,586,3389.5309090909086,0.991
587,587,3388.23,0.991
588,588,3388.050000000001,0.991
589,589,3387.600000000001,0.991
590,590,3387.51,0.991
591,591,3385.98,0.991
592,592,3383.9999999999995,0.991
593,593,3383.9099999999994,0.991
594,594,3381.840000000001,0.991
595,595,3381.185454545455,0.991
596,596,3381.120000000001,0.991
597,597,3380.76,0.991
598,598,3380.596363636364,0.991
599,599,3380.49,0.991
600,600,3380.4000000000005,0.991
601,601,3378.534545454546,0.991
602,602,3378.42,0.991
603,603,3378.24,0.991
604,604,3378.24,0.991
605,605,3378.2399999999993,0.991
606,606,3377.16,0.991
607,607,3376.7999999999993,0.991
608,608,3376.71,0.991
609,609,3376.53,0.991
610,610,3376.26,0.991
611,611,3375.450000000001,0.99
612,612,3373.723636363637,0.99
613,613,3373.65,0.99
614,614,3373.38,0.99
615,615,3373.11,0.99
616,616,3372.03,0.99
617,617,3371.76,0.99
618,618,3370.41,0.99
619,619,3369.600000000001,0.99
620,620,3369.24,0.99
621,621,3367.7100000000005,0.99
622,622,3367.7100000000005,0.99
623,623,3366.179999999999,0.99
624,624,3366.163636363637,0.99
625,625,3366.09,0.99
626,626,3366.0000000000005,0.99
627,627,3365.9099999999994,0.99
628,628,3364.9854545454546,0.99
629,629,3362.4,0.99
630,630,3362.4,0.99
631,631,3361.5000000000005,0.99
632,632,3360.96,0.99
633,633,3360.8700000000013,0.99
634,634,3360.6,0.99
635,635,3359.970000000001,0.99
636,636,3359.88,0.99
637,637,3359.290909090909,0.99
638,638,3359.2500000000005,0.99
639,639,3358.71,0.99
640,640,3358.26,0.99
641,641,3357.99,0.99
642,642,3357.2880000000005,0.99
643,643,3356.3160000000007,0.99
644,644,3355.200000000001,0.99
645,645,3355.200000000001,0.99
646,646,3355.11,0.99
647,647,3354.774545454545,0.99
648,648,3353.7927272727275,0.99
649,649,3353.76,0.99
650,650,3352.7127272727275,0.99
651,651,3352.32,0.99
652,652,3352.1400000000012,0.99
653,653,3351.96,0.99
654,654,3351.632727272727,0.99
655,655,3350.7900000000004,0.99
656,656,3350.061818181818,0.99
657,657,3348.2159999999994,0.99
658,658,3348.1800000000007,0.99
659,659,3348.090000000001,0.99
660,660,3348.09,0.99
661,661,3347.91,0.99
662,662,3347.64,0.99
663,663,3347.1900000000005,0.99
664,664,3346.65,0.99
