,index,LoadHourlyAvg,ZoneName,SignalMonth,ZoneAreaSqFt
21407,21407,1622.88,CAV-01-3A-16,3,255.0
21408,21408,1622.88,CAV-01-3A-20,4,250.0
21409,21409,1622.8472727272726,CAV-01-3A-16,3,255.0
21410,21410,1622.7900000000002,CAV-01-3A-23,2,334.0
21411,21411,1622.76,CAV-01-3A-18,10,250.0
21412,21412,1622.7,CAV-02-3A-01,3,268.0
21413,21413,1622.61,CAV-01-3A-16,4,255.0
21414,21414,1622.5527272727277,CAV-01-3A-07,9,269.0
21415,21415,1622.552727272727,CAV-01-3A-11,9,269.0
21416,21416,1622.484,CAV-01-3A-17,7,264.0
21417,21417,1622.4545454545455,CAV-01-3A-14,5,264.0
21418,21418,1622.4300000000003,CAV-02-5A-01,3,268.0
21419,21419,1622.4299999999996,CAV-01-3A-23,6,334.0
21420,21420,1622.3563636363638,CAV-02-3A-25,5,334.0
21421,21421,1622.34,CAV-01-3A-10,11,256.0
21422,21422,1622.34,CAV-02-3A-25,5,334.0
21423,21423,1622.34,CAV-01-3A-07,3,269.0
21424,21424,1622.2581818181816,CAV-02-3A-05,4,348.0
21425,21425,1622.16,CAV-01-3A-18,12,250.0
21426,21426,1622.07,CAV-02-3A-04,4,268.0
21427,21427,1621.9800000000005,CAV-02-3A-25,5,334.0
21428,21428,1621.9440000000004,CAV-01-3A-18,10,250.0
21429,21429,1621.8000000000002,CAV-01-3A-23,5,334.0
21430,21430,1621.71,CAV-01-3A-24,5,268.0
21431,21431,1621.62,CAV-01-3A-17,5,264.0
21432,21432,1621.53,CAV-02-5A-01,1,268.0
21433,21433,1621.4727272727273,CAV-02-3A-01,1,268.0
21434,21434,1621.3500000000004,CAV-01-3A-23,9,334.0
21435,21435,1621.2600000000002,CAV-01-3A-17,7,264.0
21436,21436,1621.2600000000002,CAV-01-3A-07,9,269.0
21437,21437,1621.0800000000004,CAV-02-5A-02,1,268.0
21438,21438,1621.0800000000002,CAV-01-3A-07,12,269.0
21439,21439,1621.0800000000002,CAV-01-3A-18,9,250.0
21440,21440,1621.0800000000002,CAV-01-3A-12,2,252.0
21441,21441,1621.0800000000002,CAV-01-3A-15,1,255.0
21442,21442,1621.0800000000002,CAV-01-3A-16,10,255.0
21443,21443,1621.0800000000002,CAV-02-5A-04,12,268.0
21444,21444,1621.0800000000002,CAV-01-3A-10,8,256.0
21445,21445,1621.0800000000002,CAV-01-3A-15,6,255.0
21446,21446,1621.0800000000002,CAV-02-5A-05,8,348.0
21447,21447,1621.0800000000002,CAV-01-3A-16,5,255.0
21448,21448,1621.0800000000002,CAV-01-3A-12,5,252.0
21449,21449,1621.08,CAV-01-3A-07,6,269.0
21450,21450,1621.08,CAV-01-3A-12,8,252.0
21451,21451,1621.08,CAV-01-3A-10,2,256.0
21452,21452,1621.08,CAV-01-3A-16,12,255.0
21453,21453,1621.08,CAV-01-3A-17,5,264.0
21454,21454,1620.99,CAV-01-3A-10,11,256.0
21455,21455,1620.9818181818184,CAV-02-3A-31,12,92.0
21456,21456,1620.9818181818184,CAV-01-3A-10,6,256.0
21457,21457,1620.8100000000002,CAV-01-3A-15,9,255.0
21458,21458,1620.7200000000005,CAV-02-3A-25,8,334.0
21459,21459,1620.72,CAV-01-3A-07,5,269.0
21460,21460,1620.72,CAV-01-3A-23,8,334.0
21461,21461,1620.72,CAV-01-3A-16,4,255.0
21462,21462,1620.63,CAV-01-3A-16,2,255.0
21463,21463,1620.63,CAV-02-3A-05,4,348.0
21464,21464,1620.5400000000002,CAV-01-3A-23,2,334.0
21465,21465,1620.5400000000002,CAV-02-3A-02,5,268.0
21466,21466,1620.54,CAV-02-3A-02,3,268.0
21467,21467,1620.54,CAV-01-3A-12,9,252.0
21468,21468,1620.490909090909,CAV-01-3A-17,1,264.0
21469,21469,1620.45,CAV-02-3A-01,12,268.0
21470,21470,1620.36,CAV-02-3A-03,3,268.0
21471,21471,1620.2700000000002,CAV-01-3A-07,9,269.0
21472,21472,1620.196363636364,CAV-02-5A-01,7,268.0
21473,21473,1620.1800000000003,CAV-01-3A-11,8,269.0
21474,21474,1620.12,CAV-02-3A-02,3,268.0
21475,21475,1620.09,CAV-02-3A-01,3,268.0
21476,21476,1620.09,CAV-01-3A-09,7,256.0
21477,21477,1620.09,CAV-01-3A-15,3,255.0
21478,21478,1620.0,CAV-02-5A-05,6,348.0
21479,21479,1620.0,CAV-01-3A-24,5,268.0
21480,21480,1620.0,CAV-01-3A-24,2,268.0
21481,21481,1619.9100000000003,CAV-01-3A-15,4,255.0
21482,21482,1619.91,CAV-01-3A-12,12,252.0
21483,21483,1619.8200000000004,CAV-02-5A-01,1,268.0
21484,21484,1619.82,CAV-01-3A-10,11,256.0
21485,21485,1619.7054545454548,CAV-02-5A-05,12,348.0
21486,21486,1619.64,CAV-02-5A-05,5,348.0
21487,21487,1619.5500000000002,CAV-02-3A-01,3,268.0
21488,21488,1619.4600000000005,CAV-02-5A-05,10,348.0
21489,21489,1619.37,CAV-01-3A-16,6,255.0
21490,21490,1619.2800000000004,CAV-02-5A-03,11,268.0
21491,21491,1619.1600000000003,CAV-01-3A-09,6,256.0
21492,21492,1619.1,CAV-01-3A-17,7,264.0
21493,21493,1619.1,CAV-02-5A-05,6,348.0
